,username,eye_color,hair,skin_tone,skin_type,skin_concerns,foundation_color,review,recommend,unhelpful,helpful,star
0,creecreex,Brown,Brunette,Deep,Normal,Cellulite,370,"I have 370 and I got matched at Sephora. I like to wait for it to oxidize before I fully blend it in. I’m yellow with a tiny bit of other warm undertones and my word, I’ve never had anything match me SO well. It’s comfortable. It’s not drying. It’s perfect all around and is now my only foundation I use. Thank you, Riri!",1,0,14,100
1,Jijine,Brown,Black,Dark,Combination,Unknown,470,"It is like my skin but better. very lightweight. great shade match. I was skeptical but I do not regret any dollars, coins spent",1,0,5,100
2,bloodyblondie,Blue,Black,Porcelain,Dry,Blackheads,100,"I was so nervous about trying this product because of my dry skin and I'm really picky about coverage. I hate full coverage cause I like to show off my freckles a little and look more natural, but I'd like to cover up my dark circles as well so this was PERFECT! I wanted 110 but since im really fair skinned, I get even more fair in wintertime so I went with 100. Totally recommend this!! lasts so long. I use argan oil right before I apply this foundation so it doesnt dry up on my face too fast and so it could set properly. I'm also acne prone and have some blemishes here and there...this covers it up comfortably without any caking up. No creasing, no rubbing off, totally in love.",1,0,5,100
3,miralanani,Brown,Brunette,Medium,Combination,Acne,270,This product was amazing! Just fell in love! Tip: dot down once or twice! Not too much because the coverage is flawless! Totally recommend for those who are worried with dry skin...this is for you.,1,0,5,100
4,shaaliyah,Brown,Black,Deep,Combination,Acne,370,"Since purchasing this foundation it's been my go to. I love the matte finish, the longevity, and the coverage.",1,0,38,100
5,fatiGuardia,Unknown,Unknown,Unknown,Unknown,Unknown,330,Good foundation for oily skin. My favorite foundation to my sensitive oily skin.,1,0,4,100
6,Bunnylexdoe,Unknown,Unknown,Unknown,Unknown,Unknown,260,"This foundation lasts for hours!!! I sweat a lot but it’s still on my face, doing it’s job. I love it! I have oily skin and this actually goes well with my skin type. I’m in love with this foundation. I usually get the tarte foundation but this is my favorite one when I’d wanna go out and have some fun and would want it to be there for a long time!! Btw, it oxidizes as you put it!!",1,0,13,100
7,Shortcake92,Brown,Black,Deep,Oily,Blackheads,410,"Wonderful coverage with just one pump. Went on wonderfully, resisted my oils, and didn't crease in my smile lines. 13 hours of wear with the hourglass primer and laura mercier deep setting powder.",1,1,44,100
8,sarina05,Brown,Brunette,Medium,Combination,Acne,240,"THIS FOUNDATION IS AMAZZING. I have lots of acne and acne scarring and this covered EVERYTHING. I also have oily skin and I did not get oily in it. It is a matte foundation though and if you have dry skin, I would proceed in caution because it might be a little drying, but if you have oily or combo skin I definitely recommend this !",1,15,278,100
9,cocoabean16,Brown,Black,Dark,Combination,Blackheads,430,This is an awesome product! I wear this each and every day. I work in a busy ER for 12 hours a day. I don’t have time to touch up my face throughout the day. This has a natural airbrushed look to it that never has me looking overly made up. I can usually use a tissue to blot my t zone and that’s enough. This shade blends with my complexion beautifully. No blemishes or spots are visible. The only issue I have with this foundation is that it does transfer very easily so be careful when hugging people because it may get onto their clothes. I usually wore Lancôme but this is my daily go to.,1,5,92,100
