,name,location.lat,location.lon,minority_serving.historically_black,act_scores.midpoint.cumulative,sat_scores.average.overall,demographics.race_ethnicity.white,net_price_less_30000,net_price_30001_48000,net_price_48001_75000,net_price_75001_110000,net_price_above_110001,demographics.women,locale,admission_rate.overall,size,early_pay,ownership,percent_stem,rank_lac,Rank,Description,division
0,Alabama A & M University,34.783367999999996,-86.568502,1.0,18.0,850.0,0.034,13075.0,12458.0,15857.0,16022.0,14646.0,0.5383,12.0,0.6538,4505.0,46200.0,1,19.0,0,0.0,"For Sports Fans, State School",non_ncaa
1,University of Alabama at Birmingham,33.50223,-86.80917,0.0,25.0,1147.0,0.5863,13614.0,14746.0,17601.0,18873.0,18482.0,0.5884,12.0,0.6043,11269.0,46000.0,1,17.0,0,0.0,"Research University, For Sports Fans, State School",D1
2,University of Alabama in Huntsville,34.722818,-86.63842,0.0,27.0,1221.0,0.7024,15252.0,17228.0,19178.0,20842.0,20848.0,0.426,12.0,0.812,5829.0,54200.0,1,42.0,0,0.0,"Research University, State School",D2
3,Alabama State University,32.364317,-86.295677,1.0,18.0,844.0,0.0165,7519.0,2611.0,9831.0,11446.0,12430.0,0.615,12.0,0.4639,4740.0,38300.0,1,14.0,0,0.0,"For Sports Fans, State School",D1
4,The University of Alabama,33.2144,-87.545766,0.0,27.0,1181.0,0.7807,17263.0,19279.0,21309.0,22594.0,23599.0,0.5475,13.0,0.5359,31005.0,49000.0,1,15.0,0,0.0,"Party School, Research University, For Sports Fans, State School",non_ncaa
5,Auburn University at Montgomery,32.369939,-86.177351,0.0,21.0,990.0,0.5355,12857.0,14215.0,15572.0,17266.0,16094.0,0.6405,12.0,0.7871,4142.0,42300.0,1,6.0,0,0.0,State School,non_ncaa
6,Auburn University,32.604684999999996,-85.482782,0.0,27.0,1218.0,0.8420000000000001,17216.0,19189.0,22210.0,24383.0,25805.0,0.4905,13.0,0.7766,21551.0,50700.0,1,28.0,0,99.0,"Auburn, Alabama, has been ranked one of the best places to live, and life at Auburn University can be similarly enjoyable for students. Football is a particularly big attraction in the fall, as fans support the Auburn Tigers with the help of school mascot Aubie the Tiger. The Tiger sports teams compete in the NCAA Division I Southeastern Conference, and the influx of football fans makes Auburn the fifth-largest city in the state on game days. Pep rallies are held in the downtown Toomer's Corner, and the area is covered in toilet paper by fans after every big victory. There are more than 300 organizations on campus, and about 6,000 students are involved in the school's Greek system. Auburn freshmen ease into the college transition through Camp War Eagle, a two-day, overnight summer orientation program. Transition help continues on Hey Day, an annual effort to get students to wear name tags and say hello to one another. Freshmen do not have to live on campus; in fact, a dorm room isn't even guaranteed. Because of space restraints, first-year students are awarded on-campus living assignments on a first-come, first-served basis. ",D1
7,Birmingham Southern College,33.515453,-86.853636,0.0,26.0,1167.0,0.7912,18551.0,17803.0,20676.0,21980.0,24681.0,0.4978,12.0,0.5306,1346.0,45600.0,2,25.0,0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
8,Concordia College Alabama,32.42443,-87.023531,1.0,22.0,777.0,0.0317,21197.0,22616.0,23323.0,26486.0,21812.0,0.4459,32.0,0.4034,379.0,34700.0,2,0.0,0,0.0,,non_ncaa
9,Faulkner University,32.384181,-86.21641,0.0,21.0,985.0,0.3996,23712.0,25216.0,24682.0,23567.0,21981.0,0.6126,12.0,0.573,2282.0,38400.0,2,2.0,0,0.0,"Business, Private School, Religious",non_ncaa
10,Herzing University-Birmingham,33.468105,-86.832299,0.0,21.0,966.0,0.3722,23060.0,21695.0,25307.0,26546.0,22423.0,0.5111,21.0,0.9541,360.0,34700.0,3,0.0,0,0.0,,non_ncaa
11,Huntingdon College,32.350939000000004,-86.285313,0.0,21.0,992.0,0.631,16621.0,17760.0,19988.0,21948.0,22932.0,0.5009,12.0,0.5769,1160.0,41100.0,2,12.0,0,0.0,"Private School, Religious",D3
12,Jacksonville State University,33.822128,-85.766644,0.0,23.0,1062.0,0.6981,14696.0,16376.0,18923.0,19997.0,20030.0,0.5688,13.0,0.6665,6625.0,41700.0,1,8.0,0,0.0,"For Sports Fans, State School",D1
13,Judson College,32.630526,-87.31612700000001,0.0,22.0,1031.0,0.7802,12695.0,14669.0,15811.0,14590.0,725.0,0.9598,43.0,0.6292,373.0,38700.0,2,7.0,0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
14,University of West Alabama,32.59244,-88.186077,0.0,20.0,930.0,0.4511,10626.0,11313.0,14450.0,14599.0,14637.0,0.5541,43.0,0.7347,1913.0,40200.0,1,3.0,0,0.0,State School,D2
15,University of Mobile,30.793246999999997,-88.128934,0.0,22.0,1025.0,0.6159,16828.0,19098.0,19251.0,21608.0,24284.0,0.6319,41.0,0.6051,1437.0,40200.0,2,7.0,0,0.0,"Private School, Religious",non_ncaa
16,University of Montevallo,33.10625,-86.865099,0.0,23.0,1069.0,0.7164,14436.0,15186.0,17994.0,19582.0,19811.0,0.6702,21.0,0.7001,2553.0,37100.0,1,3.0,0,0.0,State School,D2
17,University of North Alabama,34.80658,-87.680999,0.0,22.0,1027.0,0.7102,9381.0,10261.0,12371.0,13072.0,13156.0,0.5839,13.0,0.58,5698.0,41000.0,1,7.0,0,0.0,State School,non_ncaa
18,Oakwood University,34.756628000000006,-86.66162800000001,1.0,20.0,923.0,0.0047,19506.0,24573.0,24845.0,29915.0,30895.0,0.5797,12.0,0.4749,1687.0,34700.0,2,0.0,0,0.0,,non_ncaa
19,Samford University,33.464578,-86.790932,0.0,26.0,1162.0,0.8143,21312.0,24845.0,25704.0,29046.0,30462.0,0.6445,21.0,0.9329999999999999,3145.0,45800.0,2,3.0,0,0.0,"Private School, Religious, For Sports Fans",D1
20,University of South Alabama,30.695081,-88.18189,0.0,23.0,1045.0,0.5896,12171.0,12949.0,16612.0,19149.0,19654.0,0.5595,12.0,0.7816,11379.0,46200.0,1,17.0,0,0.0,"Research University, For Sports Fans, State School",D1
21,Spring Hill College,30.694751,-88.138199,0.0,25.0,1120.0,0.6852,7189.0,9056.0,8594.0,8848.0,13804.0,0.6058,12.0,0.4132,1347.0,43000.0,2,12.0,229.0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
22,Stillman College,33.199228000000005,-87.58524200000001,1.0,18.0,831.0,0.0581,15781.0,20600.0,17867.0,19877.0,15529.0,0.4828,13.0,0.5659,843.0,36200.0,2,21.0,0,0.0,"Liberal Arts School, Private School, Religious",non_ncaa
23,Troy University,31.800128000000004,-85.950191,0.0,23.0,1046.0,0.5345,11430.0,13206.0,13466.0,11429.0,15273.0,0.6041,41.0,0.9187,14065.0,42600.0,1,8.0,0,0.0,"For Sports Fans, State School",D1
24,Tuskegee University,32.431021,-85.71031500000001,1.0,21.0,955.0,0.0044,31882.0,32433.0,32508.0,29770.0,29737.0,0.6158,32.0,0.5296,2486.0,50700.0,2,34.0,0,0.0,Private School,D2
25,University of Alaska Anchorage,61.189554,-149.82613500000002,0.0,22.0,1314.0,0.5656,7260.0,7701.0,10028.0,12115.0,12340.0,0.5720000000000001,11.0,0.706,12348.0,54300.0,1,10.0,0,0.0,State School,D2
26,University of Alaska Fairbanks,64.856483,-147.82294299999998,0.0,22.0,1058.0,0.4208,7088.0,8474.0,10019.0,13799.0,13339.0,0.5489999999999999,23.0,0.731,5432.0,55400.0,1,19.0,0,0.0,"Research University, State School",D2
27,University of Alaska Southeast,58.384269999999994,-134.636346,0.0,21.0,978.0,0.4738,11479.0,12132.0,13417.0,15941.0,15124.0,0.6983,33.0,0.4891,1372.0,34700.0,1,0.0,0,0.0,,non_ncaa
28,Alaska Pacific University,61.191235,-149.804242,0.0,22.0,985.0,0.5512,21638.0,15305.0,13749.0,19850.0,21040.0,0.6457,11.0,0.3891,254.0,48800.0,2,7.0,0,0.0,"Private School, Religious",non_ncaa
29,Arizona State University-Tempe,33.422247,-111.934629,0.0,26.0,1158.0,0.523,7046.0,8555.0,13135.0,15480.0,17109.0,0.4321,12.0,0.8291,41222.0,51400.0,1,30.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
